number,date_time,acc_x,acc_y,acc_z
378,11/25/24 04:15:00 PM,-0.975,-0.225,-0.2
379,11/25/24 04:30:00 PM,-1.025,-0.6,0
380,11/25/24 04:45:00 PM,-0.75,-0.925,0.075
381,11/25/24 05:00:00 PM,-1.025,-0.1,0.425
382,11/25/24 05:15:00 PM,-0.925,-0.325,0.375
383,11/25/24 05:30:00 PM,-0.825,-0.775,-0.075
384,11/25/24 05:45:00 PM,-0.525,-0.225,-0.675
385,11/25/24 06:00:00 PM,-1.025,-0.3,0.35
386,11/25/24 06:15:00 PM,-0.75,-0.875,0.1
387,11/25/24 06:30:00 PM,-0.95,-0.225,0.575
388,11/25/24 06:45:00 PM,-1,-0.325,0.425
389,11/25/24 07:00:00 PM,-1.075,-0.025,-0.025
390,11/25/24 07:15:00 PM,-1.125,-0.15,0.1
391,11/25/24 07:30:00 PM,-0.95,-0.55,-0.25
392,11/25/24 07:45:00 PM,-0.9,-0.775,-0.2
393,11/25/24 08:00:00 PM,-0.8,0.1,-0.175
394,11/25/24 08:15:00 PM,-1,-0.025,-0.225
395,11/25/24 08:30:00 PM,-1.025,-0.2,0.175
396,11/25/24 08:45:00 PM,-1,-0.2,0.275
397,11/25/24 09:00:00 PM,-1.075,-0.2,-0.075
398,11/25/24 09:15:00 PM,-0.975,-0.35,0.1
399,11/25/24 09:30:00 PM,-1.05,-0.25,0.25
400,11/25/24 09:45:00 PM,-0.925,-0.475,0.3
401,11/25/24 10:00:00 PM,-0.925,-0.25,0.275
402,11/25/24 10:15:00 PM,-1.05,-0.025,0.025
403,11/25/24 10:30:00 PM,-1.075,-0.175,-0.1
404,11/25/24 10:45:00 PM,-1.05,-0.1,0.075
405,11/25/24 11:00:00 PM,-1.025,-0.225,-0.1
406,11/25/24 11:15:00 PM,-0.4,-0.825,-0.325
407,11/25/24 11:30:00 PM,-0.925,-0.175,-0.25
408,11/25/24 11:45:00 PM,-0.95,-0.525,-0.15
409,11/26/24 12:00:00 AM,-1.075,-0.3,0
410,11/26/24 12:15:00 AM,-1.025,-0.025,-0.1
411,11/26/24 12:30:00 AM,-1,-0.125,0.125
412,11/26/24 12:45:00 AM,-1.05,-0.025,0.025
413,11/26/24 01:00:00 AM,-1,-0.15,0.125
414,11/26/24 01:15:00 AM,-1.1,-0.25,0
415,11/26/24 01:30:00 AM,-1.1,-0.325,0.125
416,11/26/24 01:45:00 AM,-1,-0.225,0.075
417,11/26/24 02:00:00 AM,-0.975,-0.225,0.075
418,11/26/24 02:15:00 AM,-1.025,-0.3,0.075
419,11/26/24 02:30:00 AM,-1.075,-0.225,0.05
420,11/26/24 02:45:00 AM,-1.025,-0.275,0.125
421,11/26/24 03:00:00 AM,-1.05,-0.175,0.025
422,11/26/24 03:15:00 AM,-1.025,-0.2,0
423,11/26/24 03:30:00 AM,-1.025,-0.15,0.025
424,11/26/24 03:45:00 AM,-1.025,-0.2,0.05
425,11/26/24 04:00:00 AM,-1.025,-0.175,0.025
426,11/26/24 04:15:00 AM,-1.05,-0.2,0.05
427,11/26/24 04:30:00 AM,-1.025,-0.2,0.025
428,11/26/24 04:45:00 AM,-1.025,-0.175,0.05
429,11/26/24 05:00:00 AM,-1.025,-0.2,0.075
430,11/26/24 05:15:00 AM,-1.025,-0.2,0.05
431,11/26/24 05:30:00 AM,-1.025,-0.225,0.075
432,11/26/24 05:45:00 AM,-1.025,-0.175,0.05
433,11/26/24 06:00:00 AM,-1.025,-0.175,0.025
434,11/26/24 06:15:00 AM,-1.025,-0.2,0.025
435,11/26/24 06:30:00 AM,-1.025,-0.175,0.025
436,11/26/24 06:45:00 AM,-1.025,-0.2,0.075
437,11/26/24 07:00:00 AM,-1.025,-0.2,0.05
438,11/26/24 07:15:00 AM,-1.025,-0.175,0.075
439,11/26/24 07:30:00 AM,-1.025,-0.175,0.05
440,11/26/24 07:45:00 AM,-1.025,-0.15,0
441,11/26/24 08:00:00 AM,-1.05,-0.225,-0.125
442,11/26/24 08:15:00 AM,-1,-0.125,-0.125
443,11/26/24 08:30:00 AM,-0.975,0.075,-0.275
444,11/26/24 08:45:00 AM,-1.025,-0.075,-0.125
445,11/26/24 09:00:00 AM,-1,-0.075,-0.225
446,11/26/24 09:15:00 AM,-1.05,-0.15,-0.125
447,11/26/24 09:30:00 AM,-1.025,-0.075,-0.075
448,11/26/24 09:45:00 AM,-1.025,-0.225,-0.1
449,11/26/24 10:00:00 AM,-1.025,-0.175,0.025
450,11/26/24 10:15:00 AM,-1.025,-0.15,0
451,11/26/24 10:30:00 AM,-1.025,-0.15,-0.05
