"","aglaophenia_pluma","aglaophenia_pluma_1","aglaophenia_tubulifera","aglaophenia_tubulifera_1","apolemia_sp","apolemia_sp_1","bougainvillia_muscus","bougainvillia_muscus_1","bougainvillia_muscus_2","bougainvillia_muscus_3","bougainvillia_muscus_4","bougainvillia_muscus_5","clytia_sp_1_sl_2013","clytia_sp_1_sl_2013_1","clytia_sp_1_sl_2013_2","clytia_sp_1_sl_2013_3","clytia_sp_1_sl_2013_4","clytia_sp_2_afc_2016","clytia_sp_2_afc_2016_1","clytia_sp_2_afc_2016_2","clytia_sp_2_afc_2016_3","clytia_sp_2_afc_2016_4","coryne_pintneri","coryne_pintneri_1","dynamena_pumila","ectopleura_larynx","eutima_mira","forskalia_tholoides","garveia_annulata","halecium_sp_bmoo_08734","laodicea_sp_haw02","mitrocomella_brownei","obelia_bidentata","obelia_bidentata_1","obelia_bidentata_2","obelia_bidentata_3","obelia_dichotoma","obelia_dichotoma_1","obelia_dichotoma_2","obelia_dichotoma_3","obelia_sp_3_sl_2013","obelia_sp_mzusp_3356","orthopyxis_crenata","otu_obelia","otu_obelia_bidentata","otu_obelia_dichotoma","pennaria_disticha","rhizorhagium_arenosum","sarsia_tubulosa","sarsia_tubulosa_1","siphonophorae_sp_nhm_339","siphonophorae_sp_nhm_339_1","siphonophorae_sp_nhm_339_2","tiaropsis_multicirrata"
"68",0,0,0,0,0,0,0,0,0,0,0,0.044737169,0,0,0,0,0,0.357897353,0,0,0,0,0,0.007456195,0.044737169,0,0,0,0,0,0,0,0.193861066,0,0,0,0,0,0,0,0,0,0.121784516,0.193861066,0.193861066,0,0,0,0,0,0,0,0.089474338,0
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458515284,0,0,0,0,0,0,0.19650655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458515284,0,0,0,0,0,0,0.19650655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0,0,0,0.057924377,0,0,0,0,0,0.328238134,0,0,0,0,0,0.009654063,0,0,0,0,0,0,0,0,0.251005632,0,0,0,0,0,0,0,0,0,0.157683025,0.251005632,0.251005632,0,0,0,0,0,0,0,0.115848753,0
"72",0,0,0,0,0,0,0,0,0,0,0,0.057924377,0,0,0,0,0,0.328238134,0,0,0,0,0,0.009654063,0,0,0,0,0,0,0,0,0.251005632,0,0,0,0,0,0,0,0,0,0.157683025,0.251005632,0.251005632,0,0,0,0,0,0,0,0.115848753,0
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
