Seaweed,Sample_code,Site,Location,Station_no,Date,Day,Month,Year,Amphipod_plankton,OTU_Jassa_herdmani,OTU_Aora gracilis,OTU_Niphargus arbiter,Total_Amphipoda,Amphipod,Caprellidae,Gammaridae,Jassa,Corophium,for_standardizing
Saccharina,Pabay_7_5_22_2,Pabay,NW,2,7_5_2022,7,5,2022,41,0,0,0,4,3,0,1,0,0,1606
Alaria,Pabay_7_5_22_3,Pabay,Mid,3,7_5_2022,7,5,2022,323,0,0,0,5,1,0,4,0,0,1800
Saccharina,Pabay_7_5_22_3,Pabay,Mid,3,7_5_2022,7,5,2022,323,0,0,0,45,34,0,1,10,0,1866
Alaria,Pabay_8_2_22_1,Pabay,NE,1,8_2_2022,8,2,2022,0,0,0,0,,,,,,,
Saccharina,Pabay_8_2_22_1,Pabay,NE,1,8_2_2022,8,2,2022,0,0,0,0,0,0,0,0,0,0,98
Alaria,Pabay_8_2_22_2,Pabay,NW,2,8_2_2022,8,2,2022,0,0,0,0,,,,,,,
Saccharina,Pabay_8_2_22_2,Pabay,NW,2,8_2_2022,8,2,2022,0,0,0,0,0,0,0,0,0,0,98
Alaria,Pabay_8_2_22_3,Pabay,Mid,3,8_2_2022,8,2,2022,2,0,0,0,,,,,,,
Saccharina,Pabay_8_2_22_3,Pabay,Mid,3,8_2_2022,8,2,2022,2,0,0,0,0,0,0,0,0,0,98
Alaria,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,0,0.44959316,0,0,0,0,0,0,0,0,149.95
Saccharina,Pabay_8_3_22_1,Pabay,NE,1,8_3_2022,8,3,2022,0,0.44959316,0,0,2,0,0,1,1,0,17.96
Alaria,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,0,0,0,0,0,0,0,0,0,0,149.95
Saccharina,Pabay_8_3_22_2,Pabay,NW,2,8_3_2022,8,3,2022,0,0,0,0,2,0,0,1,1,0,17.96
Alaria,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,0,1.593895253,0,0,0,0,0,0,0,0,149.95
Saccharina,Pabay_8_3_22_3,Pabay,Mid,3,8_3_2022,8,3,2022,0,1.593895253,0,0,2,0,0,1,1,0,17.96
Alaria,Scalpay_15_6_21_1,Scalpay,SW,1,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Saccharina,Scalpay_15_6_21_1,Scalpay,SW,1,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Alaria,Scalpay_15_6_21_2,Scalpay,U,2,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Saccharina,Scalpay_15_6_21_2,Scalpay,U,2,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Alaria,Scalpay_15_6_21_3,Scalpay,NW,3,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Saccharina,Scalpay_15_6_21_3,Scalpay,NW,3,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Alaria,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,2,0,0,0,,,,,,,
Saccharina,Scalpay_15_6_21_4,Scalpay,4,4,15_6_2021,15,6,2021,2,0,0,0,,,,,,,
Alaria,Scalpay_15_6_21_5,Scalpay,5,5,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Saccharina,Scalpay_15_6_21_5,Scalpay,5,5,15_6_2021,15,6,2021,0,0,0,0,,,,,,,
Alaria,Scalpay_21_12_21_1,Scalpay,SW,1,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Saccharina,Scalpay_21_12_21_1,Scalpay,SW,1,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Alaria,Scalpay_21_12_21_2,Scalpay,Mid,2,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Saccharina,Scalpay_21_12_21_2,Scalpay,Mid,2,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Alaria,Scalpay_21_12_21_3,Scalpay,NW,3,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
Saccharina,Scalpay_21_12_21_3,Scalpay,NW,3,21_12_2021,21,12,2021,0,0,0,0,,,,,,,
