"Plot Title: mill_meso_T5_high"
"#","Date Time, GMT+01:00","X Accel, g (LGR S/N: 21820144, SEN S/N: 21820144)","Coupler Detached (LGR S/N: 21820144)","Host Connected (LGR S/N: 21820144)","Coupler Attached (LGR S/N: 21820144)","Stopped (LGR S/N: 21820144)","End Of File (LGR S/N: 21820144)"
250,30/06/25 14:20:44,-1.025,,,,,
251,30/06/25 14:20:45,-1.025,,,,,
252,30/06/25 14:20:46,-1.100,,,,,
253,30/06/25 14:20:47,-0.975,,,,,
254,30/06/25 14:20:48,-1.050,,,,,
255,30/06/25 14:20:49,-1.075,,,,,
256,30/06/25 14:20:50,-1.050,,,,,
257,30/06/25 14:20:51,-1.075,,,,,
258,30/06/25 14:20:52,-1.100,,,,,
259,30/06/25 14:20:53,-1.025,,,,,
260,30/06/25 14:20:54,-1.025,,,,,
261,30/06/25 14:20:55,-1.050,,,,,
262,30/06/25 14:20:56,-1.075,,,,,
263,30/06/25 14:20:57,-1.025,,,,,
264,30/06/25 14:20:58,-1.025,,,,,
265,30/06/25 14:20:59,-0.950,,,,,
266,30/06/25 14:21:00,-0.975,,,,,
267,30/06/25 14:21:01,-1.075,,,,,
268,30/06/25 14:21:02,-1.075,,,,,
269,30/06/25 14:21:03,-1.050,,,,,
270,30/06/25 14:21:04,-1.075,,,,,
271,30/06/25 14:21:05,-1.100,,,,,
272,30/06/25 14:21:06,-1.075,,,,,
273,30/06/25 14:21:07,-1.025,,,,,
274,30/06/25 14:21:08,-1.025,,,,,
275,30/06/25 14:21:09,-1.025,,,,,
276,30/06/25 14:21:10,-1.100,,,,,
277,30/06/25 14:21:11,-1.050,,,,,
278,30/06/25 14:21:12,-1.075,,,,,
279,30/06/25 14:21:13,-1.000,,,,,
280,30/06/25 14:21:14,-1.050,,,,,
281,30/06/25 14:21:15,-1.075,,,,,
282,30/06/25 14:21:16,-1.075,,,,,
283,30/06/25 14:21:17,-1.075,,,,,
284,30/06/25 14:21:18,-1.025,,,,,
285,30/06/25 14:21:19,-1.025,,,,,
286,30/06/25 14:21:20,-1.025,,,,,
287,30/06/25 14:21:21,-1.050,,,,,
288,30/06/25 14:21:22,-1.100,,,,,
289,30/06/25 14:21:23,-1.050,,,,,
290,30/06/25 14:21:24,-1.025,,,,,
291,30/06/25 14:21:25,-1.075,,,,,
292,30/06/25 14:21:26,-1.025,,,,,
293,30/06/25 14:21:27,-1.100,,,,,
294,30/06/25 14:21:28,-1.050,,,,,
295,30/06/25 14:21:29,-1.075,,,,,
296,30/06/25 14:21:30,-1.025,,,,,
297,30/06/25 14:21:31,-1.075,,,,,
298,30/06/25 14:21:32,-1.075,,,,,
299,30/06/25 14:21:33,-1.100,,,,,
300,30/06/25 14:21:34,-1.075,,,,,
301,30/06/25 14:21:35,-1.025,,,,,
302,30/06/25 14:21:36,-0.975,,,,,
303,30/06/25 14:21:37,-1.050,,,,,
304,30/06/25 14:21:38,-1.025,,,,,
305,30/06/25 14:21:39,-1.050,,,,,
306,30/06/25 14:21:40,-1.075,,,,,
307,30/06/25 14:21:41,-1.100,,,,,
308,30/06/25 14:21:42,-1.075,,,,,
309,30/06/25 14:21:43,-1.050,,,,,
310,30/06/25 14:21:44,-1.050,,,,,
311,30/06/25 14:21:45,-1.075,,,,,
312,30/06/25 14:21:46,-1.050,,,,,
313,30/06/25 14:21:47,-1.075,,,,,
314,30/06/25 14:21:48,-1.100,,,,,
315,30/06/25 14:21:49,-1.075,,,,,
316,30/06/25 14:21:50,-1.050,,,,,
317,30/06/25 14:21:51,-1.075,,,,,
