"Plot Title: 21820141_pendant3"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Y Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Z Accel, g (LGR S/N: 21820141, SEN S/N: 21820141)","Coupler Attached (LGR S/N: 21820141)","Host Connected (LGR S/N: 21820141)","Stopped (LGR S/N: 21820141)","End Of File (LGR S/N: 21820141)"
238,11/24/24 05:15:00 AM,0.450,-0.350,0.800,,,,
239,11/24/24 05:30:00 AM,-0.825,0.025,0.525,,,,
240,11/24/24 05:45:00 AM,-0.075,-0.250,1.000,,,,
241,11/24/24 06:00:00 AM,-0.975,0.250,0.250,,,,
242,11/24/24 06:15:00 AM,-1.075,-0.275,0.025,,,,
243,11/24/24 06:30:00 AM,-1.275,-0.150,-0.325,,,,
244,11/24/24 06:45:00 AM,-0.925,-0.275,0.425,,,,
245,11/24/24 07:00:00 AM,-0.900,-0.500,0.350,,,,
246,11/24/24 07:15:00 AM,-0.875,0.225,-0.100,,,,
247,11/24/24 07:30:00 AM,0.200,-0.625,-0.775,,,,
248,11/24/24 07:45:00 AM,-0.575,-0.125,-0.875,,,,
249,11/24/24 08:00:00 AM,-1.025,-0.125,-0.400,,,,
250,11/24/24 08:15:00 AM,-0.900,-0.550,-0.375,,,,
251,11/24/24 08:30:00 AM,-1.250,0.200,-0.150,,,,
252,11/24/24 08:45:00 AM,-0.400,-0.425,-0.900,,,,
253,11/24/24 09:00:00 AM,-1.075,-0.450,0.100,,,,
254,11/24/24 09:15:00 AM,-0.450,-0.825,-0.500,,,,
255,11/24/24 09:30:00 AM,-0.725,0.125,-0.125,,,,
256,11/24/24 09:45:00 AM,-0.500,-0.550,0.700,,,,
257,11/24/24 10:00:00 AM,-0.375,-0.100,0.975,,,,
258,11/24/24 10:15:00 AM,-0.950,-0.025,-0.475,,,,
259,11/24/24 10:30:00 AM,-0.825,-0.800,0.275,,,,
260,11/24/24 10:45:00 AM,-0.325,-0.600,0.825,,,,
261,11/24/24 11:00:00 AM,-0.475,-0.975,-0.325,,,,
262,11/24/24 11:15:00 AM,-0.650,-0.625,-0.575,,,,
263,11/24/24 11:30:00 AM,-0.975,-0.425,0.075,,,,
264,11/24/24 11:45:00 AM,-1.025,-0.425,-0.200,,,,
265,11/24/24 12:00:00 PM,-0.200,-0.100,0.975,,,,
266,11/24/24 12:15:00 PM,-0.925,0.000,0.600,,,,
267,11/24/24 12:30:00 PM,-1.300,0.050,0.175,,,,
268,11/24/24 12:45:00 PM,0.225,-0.475,-1.000,,,,
269,11/24/24 01:00:00 PM,0.800,0.025,0.550,,,,
270,11/24/24 01:15:00 PM,-1.025,-0.550,0.425,,,,
271,11/24/24 01:30:00 PM,-0.425,0.175,-0.875,,,,
272,11/24/24 01:45:00 PM,-1.150,-0.550,-0.700,,,,
273,11/24/24 02:00:00 PM,-1.100,0.125,-0.175,,,,
274,11/24/24 02:15:00 PM,-0.700,0.225,0.875,,,,
275,11/24/24 02:30:00 PM,-0.900,-0.675,-0.075,,,,
276,11/24/24 02:45:00 PM,-1.000,0.075,-0.300,,,,
277,11/24/24 03:00:00 PM,0.075,-0.675,0.775,,,,
278,11/24/24 03:15:00 PM,-0.875,-0.100,-0.475,,,,
279,11/24/24 03:30:00 PM,-0.575,-0.425,-0.775,,,,
280,11/24/24 03:45:00 PM,-0.425,-0.175,0.925,,,,
281,11/24/24 04:00:00 PM,-1.225,0.100,-0.150,,,,
282,11/24/24 04:15:00 PM,-0.900,-0.075,-0.475,,,,
283,11/24/24 04:30:00 PM,-0.825,-0.225,-0.475,,,,
284,11/24/24 04:45:00 PM,-1.100,-0.150,0.375,,,,
285,11/24/24 05:00:00 PM,-1.000,-0.475,0.475,,,,
286,11/24/24 05:15:00 PM,0.700,-0.125,0.600,,,,
287,11/24/24 05:30:00 PM,-1.025,-0.425,-0.175,,,,
288,11/24/24 05:45:00 PM,-0.675,0.300,0.825,,,,
289,11/24/24 06:00:00 PM,-0.575,-0.575,-0.725,,,,
290,11/24/24 06:15:00 PM,-1.350,-0.100,0.425,,,,
291,11/24/24 06:30:00 PM,-0.675,0.550,0.650,,,,
292,11/24/24 06:45:00 PM,-0.875,0.900,-0.375,,,,
293,11/24/24 07:00:00 PM,-0.400,-0.275,0.900,,,,
294,11/24/24 07:15:00 PM,-0.025,0.150,-0.100,,,,
295,11/24/24 07:30:00 PM,-0.700,-1.250,0.575,,,,
296,11/24/24 07:45:00 PM,-0.525,-0.875,0.300,,,,
297,11/24/24 08:00:00 PM,0.875,-0.975,-0.200,,,,
298,11/24/24 08:15:00 PM,-0.250,-1.050,-0.325,,,,
299,11/24/24 08:30:00 PM,-0.975,0.125,0.625,,,,
300,11/24/24 08:45:00 PM,0.900,0.000,0.725,,,,
301,11/24/24 09:00:00 PM,0.525,-0.750,-0.875,,,,
302,11/24/24 09:15:00 PM,-0.975,0.375,-0.125,,,,
303,11/24/24 09:30:00 PM,-1.150,-0.300,0.300,,,,
304,11/24/24 09:45:00 PM,-0.275,-1.025,-0.400,,,,
305,11/24/24 10:00:00 PM,0.075,0.075,-0.950,,,,
306,11/24/24 10:15:00 PM,-0.125,0.150,1.000,,,,
307,11/24/24 10:30:00 PM,0.125,-0.250,1.025,,,,
308,11/24/24 10:45:00 PM,-0.675,-0.675,-0.375,,,,
309,11/24/24 11:00:00 PM,0.050,-0.750,0.825,,,,
310,11/24/24 11:15:00 PM,-1.050,0.475,-0.475,,,,
311,11/24/24 11:30:00 PM,-0.725,0.775,0.100,,,,
312,11/24/24 11:45:00 PM,-0.850,-0.675,0.450,,,,
313,11/25/24 12:00:00 AM,-0.150,-0.700,-0.825,,,,
314,11/25/24 12:15:00 AM,-0.650,-0.925,-0.050,,,,
315,11/25/24 12:30:00 AM,-0.875,-0.750,0.050,,,,
316,11/25/24 12:45:00 AM,-0.225,-0.450,0.925,,,,
317,11/25/24 01:00:00 AM,0.475,-0.500,-0.925,,,,
318,11/25/24 01:15:00 AM,-1.100,-0.175,0.175,,,,
319,11/25/24 01:30:00 AM,-1.075,0.025,0.425,,,,
320,11/25/24 01:45:00 AM,-0.950,-0.600,0.625,,,,
321,11/25/24 02:00:00 AM,-0.675,0.025,0.300,,,,
322,11/25/24 02:15:00 AM,-0.850,-0.075,-0.525,,,,
323,11/25/24 02:30:00 AM,-0.975,-0.175,-0.325,,,,
324,11/25/24 02:45:00 AM,0.425,-0.700,0.650,,,,
325,11/25/24 03:00:00 AM,0.125,-0.975,-0.525,,,,
326,11/25/24 03:15:00 AM,-1.025,0.200,-0.100,,,,
327,11/25/24 03:30:00 AM,-0.250,0.200,-0.875,,,,
328,11/25/24 03:45:00 AM,0.975,-0.300,-0.375,,,,
329,11/25/24 04:00:00 AM,-1.125,0.025,0.400,,,,
330,11/25/24 04:15:00 AM,-0.325,-0.525,-0.700,,,,
331,11/25/24 04:30:00 AM,0.500,-1.100,-0.775,,,,
332,11/25/24 04:45:00 AM,-1.050,0.025,-0.125,,,,
333,11/25/24 05:00:00 AM,-1.075,-0.375,-0.325,,,,
334,11/25/24 05:15:00 AM,-0.400,-0.975,0.325,,,,
335,11/25/24 05:30:00 AM,-0.175,0.300,-0.925,,,,
336,11/25/24 05:45:00 AM,-0.200,-0.300,-0.975,,,,
337,11/25/24 06:00:00 AM,-0.900,-0.150,0.500,,,,
338,11/25/24 06:15:00 AM,-1.025,-0.475,0.250,,,,
339,11/25/24 06:30:00 AM,-1.200,-0.350,0.050,,,,
340,11/25/24 06:45:00 AM,-0.900,-0.300,0.100,,,,
341,11/25/24 07:00:00 AM,-1.025,0.100,0.400,,,,
342,11/25/24 07:15:00 AM,-0.200,0.050,1.150,,,,
343,11/25/24 07:30:00 AM,0.525,0.375,-0.775,,,,
344,11/25/24 07:45:00 AM,-1.000,-0.350,-0.325,,,,
345,11/25/24 08:00:00 AM,-1.025,-0.125,-0.150,,,,
346,11/25/24 08:15:00 AM,-0.575,-0.075,0.250,,,,
347,11/25/24 08:30:00 AM,-0.675,-0.075,-0.625,,,,
348,11/25/24 08:45:00 AM,-0.700,0.275,-0.100,,,,
349,11/25/24 09:00:00 AM,0.075,0.525,0.950,,,,
350,11/25/24 09:15:00 AM,-0.975,-0.200,0.150,,,,
351,11/25/24 09:30:00 AM,-0.150,-0.925,-0.425,,,,
352,11/25/24 09:45:00 AM,-1.150,-0.425,0.050,,,,
353,11/25/24 10:00:00 AM,-0.900,-0.400,0.150,,,,
354,11/25/24 10:15:00 AM,0.875,-0.175,0.625,,,,
355,11/25/24 10:30:00 AM,-1.000,-0.125,0.400,,,,
356,11/25/24 10:45:00 AM,-1.300,-0.025,-0.250,,,,
357,11/25/24 11:00:00 AM,-0.850,-0.625,-0.125,,,,
358,11/25/24 11:15:00 AM,-0.850,-0.800,0.175,,,,
359,11/25/24 11:30:00 AM,-1.050,0.325,0.350,,,,
360,11/25/24 11:45:00 AM,1.000,-0.225,-0.300,,,,
361,11/25/24 12:00:00 PM,-0.575,0.050,0.775,,,,
362,11/25/24 12:15:00 PM,-0.625,-0.300,-0.800,,,,
363,11/25/24 12:30:00 PM,-1.200,-0.325,0.025,,,,
364,11/25/24 12:45:00 PM,0.725,-0.500,-0.475,,,,
365,11/25/24 01:00:00 PM,-0.975,0.200,0.450,,,,
366,11/25/24 01:15:00 PM,-0.800,-0.425,-0.575,,,,
367,11/25/24 01:30:00 PM,-0.950,-0.350,0.600,,,,
368,11/25/24 01:45:00 PM,-0.900,-0.225,-0.175,,,,
369,11/25/24 02:00:00 PM,0.850,-0.450,-0.175,,,,
370,11/25/24 02:15:00 PM,-0.300,-0.925,-0.525,,,,
371,11/25/24 02:30:00 PM,-0.350,0.025,-0.825,,,,
372,11/25/24 02:45:00 PM,-0.250,0.925,0.250,,,,
373,11/25/24 03:00:00 PM,0.250,0.075,0.975,,,,
374,11/25/24 03:15:00 PM,-0.875,-0.675,0.175,,,,
375,11/25/24 03:30:00 PM,-1.100,-0.325,0.325,,,,
