"Plot Title: 21820136_Pendant1"
"#","Date Time, GMT+00:00","X Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Y Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","Z Accel, g (LGR S/N: 21820136, SEN S/N: 21820136)","End Of File (LGR S/N: 21820136)"
244,11/22/24 02:15:00 PM,-1.075,-0.250,0.100,
245,11/22/24 02:20:00 PM,-1.025,-0.200,0.025,
246,11/22/24 02:25:00 PM,-1.050,-0.200,0.075,
247,11/22/24 02:30:00 PM,-1.075,-0.275,0.025,
248,11/22/24 02:35:00 PM,-0.925,-0.350,0.250,
249,11/22/24 02:40:00 PM,-1.025,-0.200,0.075,
250,11/22/24 02:45:00 PM,-1.125,-0.325,0.100,
251,11/22/24 02:50:00 PM,-1.025,-0.150,0.000,
252,11/22/24 02:55:00 PM,-1.000,-0.125,0.075,
253,11/22/24 03:00:00 PM,-1.125,-0.250,0.100,
254,11/22/24 03:05:00 PM,-0.950,-0.325,0.175,
255,11/22/24 03:10:00 PM,-1.025,-0.625,0.150,
256,11/22/24 03:15:00 PM,-1.025,-0.250,0.075,
257,11/22/24 03:20:00 PM,-1.100,-0.275,0.150,
258,11/22/24 03:25:00 PM,-1.025,-0.450,0.025,
259,11/22/24 03:30:00 PM,-0.950,-0.625,0.250,
260,11/22/24 03:35:00 PM,-1.100,-0.200,0.025,
261,11/22/24 03:40:00 PM,-1.100,-0.225,0.050,
262,11/22/24 03:45:00 PM,-1.050,-0.200,0.050,
263,11/22/24 03:50:00 PM,-1.050,-0.125,0.075,
264,11/22/24 03:55:00 PM,-1.000,-0.175,0.050,
265,11/22/24 04:00:00 PM,-1.050,-0.150,0.025,
266,11/22/24 04:05:00 PM,-1.025,-0.200,-0.025,
267,11/22/24 04:10:00 PM,-1.025,-0.225,-0.025,
268,11/22/24 04:15:00 PM,-1.075,-0.200,0.025,
269,11/22/24 04:20:00 PM,-1.075,-0.125,0.075,
270,11/22/24 04:25:00 PM,-0.975,0.075,-0.100,
271,11/22/24 04:30:00 PM,-1.050,-0.175,0.125,
272,11/22/24 04:35:00 PM,-1.025,-0.200,0.075,
273,11/22/24 04:40:00 PM,-1.050,-0.225,0.150,
274,11/22/24 04:45:00 PM,-1.125,-0.225,0.125,
275,11/22/24 04:50:00 PM,-1.075,-0.225,0.150,
276,11/22/24 04:55:00 PM,-1.075,-0.200,0.075,
277,11/22/24 05:00:00 PM,-1.075,-0.200,0.125,
278,11/22/24 05:05:00 PM,-1.025,-0.200,0.125,
279,11/22/24 05:10:00 PM,-1.075,-0.175,0.125,
280,11/22/24 05:15:00 PM,-1.025,-0.200,0.125,
281,11/22/24 05:20:00 PM,-1.025,-0.175,0.100,
282,11/22/24 05:25:00 PM,-1.075,-0.200,0.100,
283,11/22/24 05:30:00 PM,-1.025,-0.150,0.125,
284,11/22/24 05:35:00 PM,-1.025,-0.225,0.075,
285,11/22/24 05:40:00 PM,-1.075,-0.200,0.100,
286,11/22/24 05:45:00 PM,-1.075,-0.175,0.125,
287,11/22/24 05:50:00 PM,-1.075,-0.200,0.075,
288,11/22/24 05:55:00 PM,-1.075,-0.225,0.125,
289,11/22/24 06:00:00 PM,-1.050,-0.200,0.100,
